,date,time,80+,70-79,60-69,50-59,40-49,30-39,20-29,10-19,0-9
0,12/15/20,0,0,0,0,0,0,0,0,0,0
1,12/16/20,1,0,0,0,0,0,0,0,0,0
2,12/17/20,2,0,0,0,0,0,0,0,0,0
3,12/18/20,3,0,0,0,0,0,0,0,0,0
4,12/19/20,4,0,0,0,0,0,0,0,0,0
5,12/20/20,5,0,0,0,0,0,0,0,0,0
6,12/21/20,6,0,0,0,0,0,0,0,0,0
7,12/22/20,7,0,0,0,0,0,0,0,0,0
8,12/23/20,8,0,0,0,0,0,0,0,0,0
9,12/24/20,9,0,0,0,0,0,0,0,0,0
10,12/25/20,10,0,0,0,0,0,0,0,0,0
11,12/26/20,11,0,0,0,0,0,0,0,0,0
12,12/27/20,12,0,0,0,0,0,0,0,0,0
13,12/28/20,13,0,0,0,0,0,0,0,0,0
14,12/29/20,14,4371,5095,2882,2209,1964,1935,1443,98,0
15,12/30/20,15,4371,5095,2882,2209,1964,1935,1443,98,0
16,12/31/20,16,4371,5095,2882,2209,1964,1935,1443,98,0
17,1/1/21,17,4371,5095,2882,2209,1964,1935,1443,98,0
18,1/2/21,18,4371,5095,2882,2209,1964,1935,1443,98,0
19,1/3/21,19,4371,5095,2882,2209,1964,1935,1443,98,0
20,1/4/21,20,4371,5095,2882,2209,1964,1935,1443,98,0
21,1/5/21,21,4371,5095,2882,2209,1964,1935,1443,98,0
22,1/6/21,22,4371,5095,2882,2209,1964,1935,1443,98,0
23,1/7/21,23,4371,5095,2882,2209,1964,1935,1443,98,0
24,1/8/21,24,4371,5095,2882,2209,1964,1935,1443,98,0
25,1/9/21,25,4371,5095,2882,2209,1964,1935,1443,98,0
26,1/10/21,26,4371,5095,2882,2209,1964,1935,1443,98,0
27,1/11/21,27,4371,5095,2882,2209,1964,1935,1443,98,0
28,1/12/21,28,4371,5095,2882,2209,1964,1935,1443,98,0
29,1/13/21,29,4371,5095,2882,2209,1964,1935,1443,98,0
30,1/14/21,30,4371,5095,2882,2209,1964,1935,1443,98,0
31,1/15/21,31,4371,5095,2882,2209,1964,1935,1443,98,0
32,1/16/21,32,4371,5095,2882,2209,1964,1935,1443,98,0
33,1/17/21,33,4371,5095,2882,2209,1964,1935,1443,98,0
34,1/18/21,34,4371,5095,2882,2209,1964,1935,1443,98,0
35,1/19/21,35,4371,5095,2882,2209,1964,1935,1443,98,0
36,1/20/21,36,4371,5095,2882,2209,1964,1935,1443,98,0
37,1/21/21,37,4371,5095,2882,2209,1964,1935,1443,98,0
38,1/22/21,38,4371,5095,2882,2209,1964,1935,1443,98,0
39,1/23/21,39,4371,5095,2882,2209,1964,1935,1443,98,0
40,1/24/21,40,4371,5095,2882,2209,1964,1935,1443,98,0
41,1/25/21,41,4371,5095,2882,2209,1964,1935,1443,98,0
42,1/26/21,42,4371,5095,2882,2209,1964,1935,1443,98,0
43,1/27/21,43,4371,5095,2882,2209,1964,1935,1443,98,0
44,1/28/21,44,4371,5095,2882,2209,1964,1935,1443,98,0
45,1/29/21,45,4371,5095,2882,2209,1964,1935,1443,98,0
46,1/30/21,46,4371,5095,2882,2209,1964,1935,1443,98,0
47,1/31/21,47,5464,6369,3602,2761,2455,2419,1803,123,0
48,2/1/21,48,5464,6369,3602,2761,2455,2419,1803,123,0
49,2/2/21,49,5464,6369,3602,2761,2455,2419,1803,123,0
50,2/3/21,50,5464,6369,3602,2761,2455,2419,1803,123,0
51,2/4/21,51,5464,6369,3602,2761,2455,2419,1803,123,0
52,2/5/21,52,5464,6369,3602,2761,2455,2419,1803,123,0
53,2/6/21,53,5464,6369,3602,2761,2455,2419,1803,123,0
54,2/7/21,54,5464,6369,3602,2761,2455,2419,1803,123,0
55,2/8/21,55,5464,6369,3602,2761,2455,2419,1803,123,0
56,2/9/21,56,5464,6369,3602,2761,2455,2419,1803,123,0
57,2/10/21,57,5464,6369,3602,2761,2455,2419,1803,123,0
58,2/11/21,58,5464,6369,3602,2761,2455,2419,1803,123,0
59,2/12/21,59,5464,6369,3602,2761,2455,2419,1803,123,0
60,2/13/21,60,5464,6369,3602,2761,2455,2419,1803,123,0
61,2/14/21,61,5464,6369,3602,2761,2455,2419,1803,123,0
62,2/15/21,62,5464,6369,3602,2761,2455,2419,1803,123,0
63,2/16/21,63,5464,6369,3602,2761,2455,2419,1803,123,0
64,2/17/21,64,5464,6369,3602,2761,2455,2419,1803,123,0
65,2/18/21,65,5464,6369,3602,2761,2455,2419,1803,123,0
66,2/19/21,66,5464,6369,3602,2761,2455,2419,1803,123,0
67,2/20/21,67,5464,6369,3602,2761,2455,2419,1803,123,0
68,2/21/21,68,5464,6369,3602,2761,2455,2419,1803,123,0
69,2/22/21,69,5464,6369,3602,2761,2455,2419,1803,123,0
70,2/23/21,70,5464,6369,3602,2761,2455,2419,1803,123,0
71,2/24/21,71,5464,6369,3602,2761,2455,2419,1803,123,0
72,2/25/21,72,5464,6369,3602,2761,2455,2419,1803,123,0
73,2/26/21,73,5464,6369,3602,2761,2455,2419,1803,123,0
74,2/27/21,74,5464,6369,3602,2761,2455,2419,1803,123,0
75,2/28/21,75,5464,6369,3602,2761,2455,2419,1803,123,0
76,3/1/21,76,5464,6369,3602,2761,2455,2419,1803,123,0
77,3/2/21,77,5464,6369,3602,2761,2455,2419,1803,123,0
78,3/3/21,78,5464,6369,3602,2761,2455,2419,1803,123,0
79,3/4/21,79,5464,6369,3602,2761,2455,2419,1803,123,0
80,3/5/21,80,5464,6369,3602,2761,2455,2419,1803,123,0
81,3/6/21,81,5464,6369,3602,2761,2455,2419,1803,123,0
82,3/7/21,82,5464,6369,3602,2761,2455,2419,1803,123,0
83,3/8/21,83,5464,6369,3602,2761,2455,2419,1803,123,0
84,3/9/21,84,5464,6369,3602,2761,2455,2419,1803,123,0
85,3/10/21,85,5464,6369,3602,2761,2455,2419,1803,123,0
86,3/11/21,86,5464,6369,3602,2761,2455,2419,1803,123,0
87,3/12/21,87,5464,6369,3602,2761,2455,2419,1803,123,0
88,3/13/21,88,5464,6369,3602,2761,2455,2419,1803,123,0
89,3/14/21,89,14741,761,1774,1936,1567,1306,1995,913,0
90,3/15/21,90,0,22855,357,357,357,357,357,357,0
91,3/16/21,91,0,22855,357,357,357,357,357,357,0
92,3/17/21,92,0,22855,357,357,357,357,357,357,0
93,3/18/21,93,0,22855,357,357,357,357,357,357,0
94,3/19/21,94,0,22855,357,357,357,357,357,357,0
95,3/20/21,95,0,22855,357,357,357,357,357,357,0
96,3/21/21,96,0,22855,357,357,357,357,357,357,0
97,3/22/21,97,0,22855,357,357,357,357,357,357,0
98,3/23/21,98,0,22855,357,357,357,357,357,357,0
99,3/24/21,99,0,22855,357,357,357,357,357,357,0
100,3/25/21,100,0,21406,636,668,595,543,680,465,0
101,3/26/21,101,0,0,23212,357,357,357,357,357,0
102,3/27/21,102,0,0,23212,357,357,357,357,357,0
103,3/28/21,103,0,0,23212,357,357,357,357,357,0
104,3/29/21,104,0,0,23212,357,357,357,357,357,0
105,3/30/21,105,0,0,23212,357,357,357,357,357,0
106,3/31/21,106,0,0,23212,357,357,357,357,357,0
107,4/1/21,107,0,0,23212,357,357,357,357,357,0
108,4/2/21,108,0,0,23212,357,357,357,357,357,0
109,4/3/21,109,0,0,23212,357,357,357,357,357,0
110,4/4/21,110,0,0,23212,357,357,357,357,357,0
111,4/5/21,111,0,0,23212,357,357,357,357,357,0
112,4/6/21,112,0,0,23212,357,357,357,357,357,0
113,4/7/21,113,0,0,23212,357,357,357,357,357,0
114,4/8/21,114,0,0,23212,357,357,357,357,357,0
115,4/9/21,115,0,0,23212,357,357,357,357,357,0
116,4/10/21,116,0,0,23212,357,357,357,357,357,0
117,4/11/21,117,0,0,23212,357,357,357,357,357,0
118,4/12/21,118,0,0,23212,357,357,357,357,357,0
119,4/13/21,119,0,0,23212,357,357,357,357,357,0
120,4/14/21,120,0,0,23212,357,357,357,357,357,0
121,4/15/21,121,0,0,23212,357,357,357,357,357,0
122,4/16/21,122,0,0,23212,357,357,357,357,357,0
123,4/17/21,123,0,0,23212,357,357,357,357,357,0
124,4/18/21,124,0,0,23212,357,357,357,357,357,0
125,4/19/21,125,0,0,23212,357,357,357,357,357,0
126,4/20/21,126,0,0,23212,357,357,357,357,357,0
127,4/21/21,127,0,0,23212,357,357,357,357,357,0
128,4/22/21,128,0,0,23212,357,357,357,357,357,0
129,4/23/21,129,0,0,23212,357,357,357,357,357,0
130,4/24/21,130,0,0,23212,357,357,357,357,357,0
131,4/25/21,131,0,0,23212,357,357,357,357,357,0
132,4/26/21,132,0,0,23212,357,357,357,357,357,0
133,4/27/21,133,0,0,23212,357,357,357,357,357,0
134,4/28/21,134,0,0,23212,357,357,357,357,357,0
135,4/29/21,135,0,0,23212,357,357,357,357,357,0
136,4/30/21,136,0,0,23212,357,357,357,357,357,0
137,5/1/21,137,0,0,23212,357,357,357,357,357,0
138,5/2/21,138,0,0,7434,4581,3577,2866,4743,1794,0
139,5/3/21,139,0,0,0,23569,357,357,357,357,0
140,5/4/21,140,0,0,0,23569,357,357,357,357,0
141,5/5/21,141,0,0,0,23569,357,357,357,357,0
142,5/6/21,142,0,0,0,23569,357,357,357,357,0
143,5/7/21,143,0,0,0,23569,357,357,357,357,0
144,5/8/21,144,0,0,0,23569,357,357,357,357,0
145,5/9/21,145,0,0,0,23569,357,357,357,357,0
146,5/10/21,146,0,0,0,23569,357,357,357,357,0
147,5/11/21,147,0,0,0,23569,357,357,357,357,0
148,5/12/21,148,0,0,0,23569,357,357,357,357,0
149,5/13/21,149,0,0,0,23569,357,357,357,357,0
150,5/14/21,150,0,0,0,23569,357,357,357,357,0
151,5/15/21,151,0,0,0,23569,357,357,357,357,0
152,5/16/21,152,0,0,0,23569,357,357,357,357,0
153,5/17/21,153,0,0,0,23569,357,357,357,357,0
154,5/18/21,154,0,0,0,23569,357,357,357,357,0
155,5/19/21,155,0,0,0,23569,357,357,357,357,0
156,5/20/21,156,0,0,0,23569,357,357,357,357,0
157,5/21/21,157,0,0,0,23569,357,357,357,357,0
158,5/22/21,158,0,0,0,23569,357,357,357,357,0
