time,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,daily_confirm,cum_confirm
2020-01-02,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,6.0,6.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0
2020-01-04,0.49171424240893247,0.5082857575910675,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,12.0
2020-01-05,0.49171424240893247,0.5082857575910675,1.0,1.0,4.0,1.0,0.0,1.0,0.0,9.0,21.0
2020-01-06,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,26.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,28.0
2020-01-08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,30.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2020-01-10,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,35.0
2020-01-11,0.49171424240893247,0.5082857575910675,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0
2020-01-12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,42.0
2020-01-13,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,8.0,50.0
2020-01-14,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,54.0
2020-01-15,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,12.0,66.0
2020-01-16,0.49171424240893247,0.5082857575910675,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,70.0
2020-01-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,71.0
2020-01-18,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,74.0
2020-01-19,0.49171424240893247,0.5082857575910675,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,80.0
2020-01-20,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,8.0,88.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,90.0
2020-01-22,0.49171424240893247,0.5082857575910675,3.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,97.0
2020-01-23,0.9834284848178649,1.016571515182135,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,101.0
2020-01-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0
2020-01-25,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,105.0
