Date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-12-27,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,101,93,95,105,52,7,4
2021-01-01,0,0,305,280,287,315,156,21,13
2021-01-02,0,0,412,379,388,426,211,29,18
2021-01-03,0,0,306,281,288,316,166,32,19
2021-01-04,0,0,325,298,306,336,192,52,32
2021-01-05,0,0,39,36,37,40,23,6,3
2021-01-06,0,0,581,534,547,601,394,148,91
2021-01-07,0,4,659,606,620,681,642,386,238
2021-01-08,0,14,2435,2239,2293,2518,2191,1226,755
2021-01-09,0,0,62,57,59,64,46,20,12
2021-01-10,0,34,4373,4020,4117,4521,3897,2159,1330
2021-01-11,0,0,270,248,254,279,162,45,27
2021-01-12,0,0,279,257,263,289,169,48,30
2021-01-13,0,26,3879,3566,3652,4011,2655,1019,628
2021-01-14,0,7,4420,4064,4162,4570,3316,1486,915
2021-01-15,0,18,4967,4566,4676,5135,3487,1403,864
2021-01-16,0,21,4630,4257,4360,4788,3660,1764,1087
2021-01-17,0,14,1301,1196,1225,1345,1283,780,481
2021-01-18,0,6,1177,1082,1108,1217,1335,901,555
2021-01-19,0,5,930,855,876,962,595,198,122
2021-01-20,0,16,2618,2407,2465,2707,1929,841,518
2021-01-21,0,0,254,233,239,263,213,110,67
2021-01-22,0,42,8382,7705,7891,8666,7060,3680,2267
2021-01-23,0,23,5160,4743,4858,5335,4402,2328,1434
2021-01-24,0,0,206,190,194,213,296,227,140
2021-01-25,0,48,8262,7596,7779,8543,7907,4687,2887
2021-01-26,0,16,1462,1344,1376,1511,1439,873,538
2021-01-27,0,38,2665,2450,2509,2756,3033,2051,1263
2021-01-28,0,20,3166,2911,2981,3274,3127,1904,1173
2021-01-29,0,39,3987,3665,3754,4122,4231,2726,1679
2021-01-30,0,25,4746,4363,4468,4907,4781,2959,1823
2021-01-31,0,25,4265,3921,4015,4410,4674,3081,1898
2021-02-01,0,43,3184,2927,2998,3293,3777,2622,1615
2021-02-02,0,25,1451,1334,1366,1500,1808,1291,795
2021-02-03,0,17,1798,1653,1693,1859,2472,1859,1145
2021-02-04,0,0,486,447,457,502,603,430,265
2021-02-05,0,53,4383,4029,4126,4532,11124,10230,6303
2021-02-06,0,17,1708,1570,1608,1766,11079,11524,7100
2021-02-07,0,49,1970,1811,1855,2037,12481,12958,7983
2021-02-08,0,23,1460,1342,1374,1509,10083,10535,6490
2021-02-09,0,7,1094,1006,1030,1131,5612,5722,3525
2021-02-10,0,12,1314,1208,1237,1358,9306,9740,6001
2021-02-11,0,45,1309,1203,1232,1353,8256,8569,5279
2021-02-12,0,28,1543,1418,1452,1595,10140,10557,6504
2021-02-13,0,57,1493,1372,1405,1543,13982,14876,9165
2021-02-14,0,34,1294,1190,1218,1338,9774,10272,6329
2021-02-15,0,27,1333,1226,1255,1379,11744,12454,7673
2021-02-16,0,20,717,659,675,741,10399,11262,6938
2021-02-17,0,76,1191,1095,1122,1232,9328,9825,6053
2021-02-18,0,22,1327,1220,1249,1372,8118,8405,5178
2021-02-19,0,44,1071,984,1008,1107,8929,9441,5816
2021-02-20,0,58,1447,1330,1362,1496,12684,13448,8285
2021-02-21,0,7,1826,1679,1719,1888,9436,9628,5932
2021-02-22,0,26,2448,2250,2304,2531,8840,8650,5329
2021-02-23,0,36,1315,1209,1238,1360,6180,6246,3848
2021-02-24,0,17,1340,1232,1261,1385,5443,5409,3333
2021-02-25,0,21,1583,1455,1490,1637,9222,9511,5859
2021-02-26,0,24,5570,5121,5244,5759,13489,12276,7563
2021-02-27,0,11,2638,2425,2484,2728,10921,10880,6703
2021-02-28,0,21,3591,3301,3381,3713,10813,10280,6333
2021-03-01,0,17,4472,4112,4211,4624,11323,10407,6412
2021-03-02,0,20,2154,1980,2028,2227,6363,6029,3714
2021-03-03,0,6,1368,1258,1288,1415,4802,4679,2882
2021-03-04,0,7,1769,1626,1665,1829,4477,4115,2535
2021-03-05,0,6,1509,1388,1421,1561,8977,9274,5714
2021-03-06,0,10,1663,1529,1566,1720,7870,7959,4903
2021-03-07,0,18,2463,2264,2319,2547,6473,5997,3695
2021-03-08,0,45,1194,1097,1124,1234,4494,4422,2724
2021-03-09,0,10,1239,1139,1167,1281,2867,2582,1590
2021-03-10,0,11,2286,2101,2152,2363,6229,5813,3581
2021-03-11,0,31,1804,1659,1699,1866,7322,7276,4483
2021-03-12,0,24,2190,2013,2062,2265,8720,8645,5326
2021-03-13,0,26,3010,2767,2834,3112,12278,12209,7522
2021-03-14,0,50,3934,3617,3704,4068,13021,12576,7748
2021-03-15,0,35,3229,2968,3040,3339,9211,8672,5343
2021-03-16,0,31,2544,2339,2395,2631,8385,8093,4986
2021-03-17,0,28,3387,3114,3189,3502,9968,9439,5815
2021-03-18,0,19,2212,2033,2082,2287,10074,10147,6251
2021-03-19,0,24,2957,2718,2784,3057,12690,12696,7822
2021-03-20,0,69,5866,5393,5523,6065,18053,17228,10614
2021-03-21,0,52,6059,5570,5704,6264,13868,12455,7674
2021-03-22,0,68,4832,4442,4549,4996,9301,7967,4908
2021-03-23,0,75,3465,3185,3262,3583,5603,4521,2785
2021-03-24,0,44,5284,4857,4975,5463,7938,6217,3830
2021-03-25,0,44,7750,7124,7296,8013,10150,7450,4590
2021-03-26,0,70,10905,10026,10268,11276,13351,9443,5817
2021-03-27,0,112,13912,12790,13099,14385,14891,9654,5948
2021-03-28,0,79,11687,10744,11004,12084,12637,8252,5084
2021-03-29,0,59,9386,8629,8837,9705,8782,5100,3142
2021-03-30,0,24,4252,3909,4004,4397,3978,2309,1423
2021-03-31,0,43,7096,6523,6681,7337,6926,4176,2573
2021-04-01,0,107,12155,11174,11444,12568,10217,5313,3273
2021-04-02,0,111,13249,12180,12474,13699,11067,5714,3520
2021-04-03,0,150,15159,13936,14272,15674,12322,6157,3793
2021-04-04,0,153,15900,14618,14970,16441,11680,5067,3122
2021-04-05,0,93,10888,10010,10251,11258,7732,3172,1954
2021-04-06,0,102,7363,6769,6932,7613,4764,1626,1002
2021-04-07,0,161,12476,11470,11747,12900,8561,3301,2034
2021-04-08,0,205,13178,12115,12407,13625,8862,3286,2024
2021-04-09,0,458,15993,14703,15057,16536,10625,3841,2366
2021-04-10,0,712,17667,16242,16633,18267,11560,4046,2492
2021-04-11,0,567,13551,12458,12758,14011,9023,3278,2019
2021-04-12,0,561,11786,10835,11097,12186,7334,2276,1402
2021-04-13,0,633,6130,5635,5771,6338,3633,981,604
2021-04-14,0,1280,9095,8361,8563,9404,6009,2147,1323
2021-04-15,0,1767,12889,11849,12135,13326,8258,2755,1697
2021-04-16,0,2254,15818,14542,14892,16355,10082,3323,2047
2021-04-17,0,3308,18190,16723,17126,18808,11271,3460,2131
2021-04-18,0,0,82,75,77,85,82,50,31
2021-04-19,0,0,105,96,99,108,107,67,41
2021-04-20,0,6529,28740,26421,27059,29716,16920,4474,2756
2021-04-21,0,2593,10153,9334,9560,10498,6350,1996,1230
2021-04-22,0,2240,13132,12072,12364,13578,8317,2699,1663
2021-04-23,0,3226,15968,14680,15034,16510,10231,3414,2103
2021-04-24,0,2562,14228,13080,13396,14712,9690,3683,2269
2021-04-25,0,4,259,238,244,268,184,75,46
2021-04-26,0,4505,22411,20603,21100,23172,14373,4806,2961
2021-04-27,0,562,3383,3110,3185,3498,2329,904,556
2021-04-28,0,1899,7402,6805,6969,7654,4940,1803,1111
2021-04-29,0,1943,8910,8191,8389,9213,6003,2233,1376
2021-04-30,0,2098,9331,8579,8786,9648,6235,2281,1405
2021-05-01,0,1995,9050,8320,8521,9357,6075,2243,1382
2021-05-02,0,2331,8214,7551,7733,8493,5388,1896,1168
2021-05-03,0,1378,5014,4609,4720,5184,3262,1127,694
2021-05-04,0,1049,3376,3103,3178,3490,2134,689,424
2021-05-05,0,2238,5105,4693,4806,5279,3580,1437,885
2021-05-06,0,1162,4858,4466,4574,5023,3404,1364,840
2021-05-07,0,1576,7812,7182,7355,8077,5106,1783,1098
2021-05-08,0,1604,5736,5274,5401,5931,4071,1669,1028
2021-05-09,0,2013,6344,5832,5973,6560,4244,1556,959
2021-05-10,0,1332,3925,3608,3695,4058,2511,835,514
2021-05-11,0,615,2190,2013,2062,2264,1390,453,279
2021-05-12,0,1155,3599,3309,3388,3721,2534,1025,631
2021-05-13,0,767,3641,3347,3428,3764,2733,1226,755
2021-05-14,0,1651,8268,7601,7784,8549,5149,1602,987
2021-05-15,0,1568,4575,4205,4307,4730,3214,1294,797
2021-05-16,0,1549,3739,3437,3520,3866,2677,1113,686
2021-05-17,0,452,1936,1780,1823,2002,1294,473,291
2021-05-18,0,418,999,918,940,1033,657,232,143
2021-05-19,0,928,2917,2682,2747,3017,2238,1035,638
2021-05-20,0,1036,3740,3438,3521,3867,2792,1242,765
2021-05-21,0,1936,6426,5908,6050,6644,4148,1408,867
2021-05-22,0,890,3393,3119,3194,3508,2599,1201,740
2021-05-23,0,1047,3907,3592,3679,4040,2883,1259,775
2021-05-24,0,325,1476,1357,1390,1526,1077,462,285
2021-05-25,0,356,5597,5145,5269,5787,3391,978,602
2021-05-26,0,744,3124,2872,2941,3230,2266,963,593
2021-05-27,0,460,2226,2047,2096,2302,1804,898,553
2021-05-28,0,953,5089,4678,4791,5261,3127,939,578
2021-05-29,0,4945,2877,2645,2709,2975,2193,1006,619
2021-05-30,0,7357,4106,3775,3866,4246,2920,1201,740
2021-05-31,0,8050,2388,2195,2248,2469,2090,1136,700
2021-06-01,0,4356,1872,1721,1762,1935,1181,380,234
2021-06-02,0,6893,3015,2772,2839,3117,2167,908,559
2021-06-03,0,10496,3971,3651,3739,4106,2733,1060,653
2021-06-04,0,9180,4387,4033,4131,4536,3028,1180,727
2021-06-05,0,12171,6308,5799,5939,6522,4318,1658,1021
2021-06-06,0,7688,3774,3469,3553,3902,2563,969,597
2021-06-07,0,6550,2303,2117,2168,2381,1474,491,302
2021-06-08,0,2492,1337,1229,1259,1383,826,251,155
2021-06-09,0,6560,3530,3245,3323,3650,2316,815,502
2021-06-10,0,6002,3904,3589,3676,4037,2552,891,549
2021-06-11,0,4042,2873,2641,2705,2971,2044,841,518
2021-06-12,0,4204,2935,2698,2763,3034,2008,770,474
2021-06-13,0,4843,3099,2849,2918,3205,2085,773,476
2021-06-14,0,1925,1435,1319,1351,1484,902,287,176
2021-06-15,0,1345,978,899,921,1011,592,170,105
2021-06-16,0,1525,938,862,883,970,546,139,85
2021-06-17,0,2607,1552,1427,1462,1605,1210,573,353
2021-06-18,0,3073,2252,2070,2120,2329,1700,769,473
2021-06-19,0,3869,2426,2230,2284,2508,1704,686,423
2021-06-20,0,3438,2270,2087,2137,2347,1621,671,413
2021-06-21,0,1902,1481,1361,1394,1531,935,301,185
2021-06-22,0,1309,903,831,851,934,548,159,98
2021-06-23,0,2501,1792,1647,1687,1853,1281,532,327
2021-06-24,0,2323,1873,1722,1764,1937,1352,569,351
2021-06-25,0,22,38,35,36,39,59,47,29
2021-06-26,0,2657,2094,1925,1972,2165,1602,738,454
2021-06-27,0,2435,1734,1594,1633,1793,1282,561,346
2021-06-28,0,2438,1822,1675,1716,1884,1300,538,331
2021-06-29,0,1675,1297,1192,1221,1341,852,301,185
2021-06-30,0,1920,1566,1440,1475,1620,1094,436,268
2021-07-01,0,2239,2216,2037,2087,2292,1572,643,396
2021-07-02,0,2026,1682,1546,1584,1739,1251,553,341
2021-07-03,0,1847,1553,1428,1462,1606,1114,464,286
2021-07-04,0,1438,1125,1034,1059,1163,855,391,240
2021-07-05,0,1036,949,872,893,981,629,226,139
2021-07-06,0,616,504,463,475,521,336,122,75
2021-07-07,0,1208,1073,987,1010,1110,795,349,215
2021-07-08,0,1613,1260,1158,1186,1302,975,457,281
2021-07-09,0,1342,1478,1359,1392,1528,1274,682,420
2021-07-10,0,1885,1057,972,995,1093,810,374,230
2021-07-11,0,1536,1534,1410,1444,1586,1078,434,267
2021-07-12,0,1775,2613,2402,2460,2702,1640,520,320
2021-07-13,0,444,396,364,373,410,239,68,42
2021-07-14,0,920,897,825,845,928,690,320,197
2021-07-15,0,1523,1204,1106,1133,1245,870,368,226
2021-07-16,0,1816,1382,1271,1302,1429,989,411,253
2021-07-17,0,1101,1003,922,944,1037,1261,906,558
